Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
$,tienes,1,2,3,0.6666666666666666
$,fake,&,2,2,1.0
q,sea,de,2,2,1.0
$,me,dijo,2,20,0.1
$,yo,digo,2,41,0.04878048780487805
que,te,dijo,2,13,0.15384615384615385
$,mañe,&,2,2,1.0
sale,pop,&,2,2,1.0
porque,mi,cielo,2,4,0.5
$,como,me,2,14,0.14285714285714285
$,oh,&,2,3,0.6666666666666666
este,es,mi,2,2,1.0
a,ver,si,2,4,0.5
porque,bebé,?,2,2,1.0
$,porque,bebé,2,17,0.11764705882352941
$,si,cariño,2,38,0.05263157894736842
si,cariño,&,2,2,1.0
$,este,es,2,3,0.6666666666666666
que,pasa,mi,2,3,0.6666666666666666
$,que,pasa,2,27,0.07407407407407407
bn,bebé,&,2,4,0.5
yo,mas,&,2,5,0.4
$,felicidades,&,2,3,0.6666666666666666
$,ya,no,2,30,0.06666666666666667
:,(,&,2,2,1.0
el,sábado,&,2,2,1.0
que,pasó,jefe,2,4,0.5
$,yo,se,2,41,0.04878048780487805
que,no,tengo,2,24,0.08333333333333333
mi,prime,&,2,2,1.0
$,esq,la,2,21,0.09523809523809523
pop,?,&,2,2,1.0
yo,se,que,2,2,1.0
$,que,pasó,2,27,0.07407407407407407
$,ptm,&,2,2,1.0
bn,amigo,&,2,2,1.0
de,verga,&,2,2,1.0
si,se,lo,2,11,0.18181818181818182
de,seguro,es,2,7,0.2857142857142857
$,y,después,2,64,0.03125
$,pero,ese,2,64,0.03125
$,ya,estoy,2,30,0.06666666666666667
$,no,si,2,116,0.017241379310344827
ya,no,quiero,2,5,0.4
pero,si,se,2,7,0.2857142857142857
$,pero,&,2,64,0.03125
$,zzz,&,2,2,1.0
jesus,milf,&,2,2,1.0
es,jesus,milf,2,2,1.0
pingas,es,jesus,2,4,0.5
mi,casa,&,2,6,0.3333333333333333
me,acuerdo,que,2,4,0.5
en,donde,es,2,5,0.4
️,‼,️,2,2,1.0
quede,dormido,&,2,3,0.6666666666666666
amo,más,&,2,7,0.2857142857142857
pablo,dario,&,2,3,0.6666666666666666
amor,no,te,2,2,1.0
$,foto,o,2,6,0.3333333333333333
$,en,general,2,17,0.11764705882352941
weno,la,vd,2,2,1.0
$,weno,la,2,12,0.16666666666666666
de,la,escuela,2,16,0.125
pinche,perra,&,2,3,0.6666666666666666
$,y,al,2,64,0.03125
no,se,si,2,10,0.2
ah,muy,bn,2,2,1.0
$,ah,muy,2,15,0.13333333333333333
$,qn,pingas,2,4,0.5
el,protocolo,&,2,3,0.6666666666666666
la,verdad,&,2,5,0.4
$,anulo,mi,2,3,0.6666666666666666
anulo,mi,voto,2,2,1.0
mi,voto,&,2,2,1.0
❤,️,❤,2,9,0.2222222222222222
️,❤,️,2,2,1.0
bueno,bebé,&,2,2,1.0
$,bueno,&,2,12,0.16666666666666666
$,la,verdad,2,18,0.1111111111111111
no,puedo,&,2,3,0.6666666666666666
no,creo,poder,2,3,0.6666666666666666
$,que,hacen,2,27,0.07407407407407407
que,no,se,2,24,0.08333333333333333
$,no,maaaaa,2,116,0.017241379310344827
$,pero,el,2,64,0.03125
$,perdón,mi,2,8,0.25
y,le,dije,2,8,0.25
estoy,en,mi,2,3,0.6666666666666666
hay,que,hacernos,2,8,0.25
que,hacernos,amigos,2,2,1.0
hacernos,amigos,&,2,2,1.0
$,pero,yo,2,64,0.03125
$,achis,&,2,2,1.0
$,abr,&,2,5,0.4
mas,mi,cielo,2,3,0.6666666666666666
tarea,?,&,2,2,1.0
vd,si,&,2,2,1.0
la,vd,si,2,10,0.2
chin,mi,amor,2,2,1.0
$,chin,mi,2,4,0.5
le,dije,&,2,4,0.5
🤣,🤣,🤣,2,3,0.6666666666666666
no,ma,entonces,2,53,0.03773584905660377
$,mi,amor,2,5,0.4
las,chicas,mañana,2,7,0.2857142857142857
más,cariño,&,2,2,1.0
si,mi,amor,2,3,0.6666666666666666
mandas,una,foto,2,2,1.0
me,mandas,una,2,3,0.6666666666666666
$,me,mandas,2,20,0.1
ah,va,&,2,2,1.0
$,ah,va,2,15,0.13333333333333333
$,en,el,2,17,0.11764705882352941
amo,más,preciosa,2,7,0.2857142857142857
de,los,ejercicios,2,6,0.3333333333333333
no,bebé,&,2,5,0.4
‼,️,‼,2,3,0.6666666666666666
$,o,no,2,14,0.14285714285714285
más,más,bebé,2,4,0.5
el,lunes,&,2,3,0.6666666666666666
$,mmm,pues,2,8,0.25
$,esq,me,2,21,0.09523809523809523
de,verdad,&,2,5,0.4
no,ma,es,2,53,0.03773584905660377
amigos,de,verdad,2,2,1.0
gracias,amigos,&,2,3,0.6666666666666666
normal,?,&,2,2,1.0
$,gracias,amigos,2,25,0.08
mi,mamá,falleció,2,3,0.6666666666666666
que,mi,mamá,2,3,0.6666666666666666
