Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
$,y,el,3,51,0.058823529411764705
a,mi,papá,3,27,0.1111111111111111
lo,bueno,que,3,9,0.3333333333333333
que,siii,",",3,4,0.75
en,la,prepa,3,38,0.07894736842105263
iba,en,la,3,3,1.0
cuando,iba,en,3,3,1.0
gabygod,",",si,3,17,0.17647058823529413
ganas,de,ir,3,3,1.0
$,en,la,3,32,0.09375
si,se,ve,3,9,0.3333333333333333
a,mi,si,3,27,0.1111111111111111
mi,si,me,3,3,1.0
en,las,mañanas,3,5,0.6
en,serio,que,3,15,0.2
$,yo,tampoco,3,37,0.08108108108108109
en,tu,escuela,3,12,0.25
$,aún,no,3,4,0.75
",",yo,te,3,20,0.15
a,mi,me,3,27,0.1111111111111111
pero,no,se,3,23,0.13043478260869565
",",a,mi,3,7,0.42857142857142855
tu,?,?,3,4,0.75
que,íbamos,a,3,3,1.0
$,noo,",",3,4,0.75
lo,que,le,3,28,0.10714285714285714
yo,creo,si,3,26,0.11538461538461539
",",voy,a,3,3,1.0
$,ahhh,ya,3,21,0.14285714285714285
$,no,lo,3,68,0.04411764705882353
lo,vamos,a,3,3,1.0
que,se,enoje,3,26,0.11538461538461539
se,supone,que,3,3,1.0
que,si,nos,3,42,0.07142857142857142
$,lo,bueno,3,18,0.16666666666666666
creo,que,esa,3,82,0.036585365853658534
$,si,estuvo,3,53,0.05660377358490566
gracias,gabygod,",",3,12,0.25
todo,el,día,3,6,0.5
que,es,lo,3,22,0.13636363636363635
no,mucho,&,3,3,1.0
ya,al,final,2,2,1.0
$,ay,si,2,4,0.5
$,igual,que,2,17,0.11764705882352941
$,jajaja,&,2,5,0.4
nada,gabygod,&,2,2,1.0
ahí,en,adelante,2,3,0.6666666666666666
pero,siento,que,2,2,1.0
$,y,también,2,51,0.0392156862745098
el,viernes,&,2,3,0.6666666666666666
cuál,es,tu,2,3,0.6666666666666666
los,primeros,días,2,3,0.6666666666666666
para,que,chequemos,2,20,0.1
siiii,",",pero,2,10,0.2
y,tal,vez,2,2,1.0
la,molestia,",",2,3,0.6666666666666666
$,ya,mañana,2,33,0.06060606060606061
$,ojala,",",2,7,0.2857142857142857
",",tal,vez,2,3,0.6666666666666666
que,es,como,2,22,0.09090909090909091
$,siii,ya,2,72,0.027777777777777776
$,no,nos,2,68,0.029411764705882353
verdad,?,&,2,6,0.3333333333333333
mismo,que,el,2,2,1.0
$,vale,vale,2,10,0.2
esta,semana,&,2,3,0.6666666666666666
mi,mamá,a,2,10,0.2
a,las,8,2,14,0.14285714285714285
que,bueno,&,2,7,0.2857142857142857
$,gracias,gaby,2,13,0.15384615384615385
",",o,al,2,4,0.5
que,ir,a,2,4,0.5
",",solo,quería,2,14,0.14285714285714285
$,a,ti,2,32,0.0625
muy,bueno,",",2,2,1.0
de,seguro,&,2,3,0.6666666666666666
$,y,no,2,51,0.0392156862745098
por,lo,de,2,8,0.25
$,a,la,2,32,0.0625
$,se,supone,2,12,0.16666666666666666
el,examen,de,2,7,0.2857142857142857
a,la,practica,2,42,0.047619047619047616
ya,el,miércoles,2,2,1.0
es,la,última,2,11,0.18181818181818182
le,puedo,dar,2,3,0.6666666666666666
no,le,puedo,2,10,0.2
igual,a,ti,2,2,1.0
a,ti,&,2,7,0.2857142857142857
$,ojala,no,2,7,0.2857142857142857
$,ohh,vale,2,4,0.5
$,dijo,que,2,4,0.5
es,a,las,2,3,0.6666666666666666
el,día,del,2,8,0.25
$,espero,que,2,2,1.0
espero,que,no,2,8,0.25
que,no,nos,2,31,0.06451612903225806
tampoco,creo,que,2,2,1.0
$,dijo,algo,2,4,0.5
hay,que,ir,2,5,0.4
ojala,no,se,2,3,0.6666666666666666
gaby,",",perdon,2,13,0.15384615384615385
",",perdon,por,2,2,1.0
pero,yo,creo,2,4,0.5
al,protocolo,&,2,2,1.0
las,4,:,2,3,0.6666666666666666
perdon,por,la,2,2,1.0
$,está,bien,2,6,0.3333333333333333
por,la,molestia,2,4,0.5
ya,vimos,que,2,2,1.0
",",pero,ya,2,25,0.08
yo,si,voy,2,6,0.3333333333333333
el,tiempo,&,2,4,0.5
a,las,7,2,14,0.14285714285714285
las,7,&,2,2,1.0
$,ahh,sii,2,16,0.125
pero,la,que,2,6,0.3333333333333333
por,aquí,&,2,2,1.0
$,pero,la,2,35,0.05714285714285714
no,hay,examen,2,10,0.2
ves,como,es,2,2,1.0
ya,ves,como,2,3,0.6666666666666666
acceso,a,los,2,2,1.0
el,de,la,2,11,0.18181818181818182
4,:,30,2,2,1.0
estuvo,bien,&,2,3,0.6666666666666666
irás,?,?,2,2,1.0
vas,a,tener,2,10,0.2
y,que,según,2,8,0.25
$,ya,lo,2,33,0.06060606060606061
que,es,de,2,22,0.09090909090909091
en,la,foto,2,38,0.05263157894736842
en,la,escuela,2,38,0.05263157894736842
$,es,el,2,18,0.1111111111111111
que,el,de,2,13,0.15384615384615385
de,imágenes,.,2,2,1.0
procesamiento,de,imágenes,2,2,1.0
y,procesamiento,de,2,2,1.0
",",sii,me,2,2,1.0
lo,que,veo,2,28,0.07142857142857142
yo,digo,que,2,2,1.0
había,dicho,que,2,2,1.0
en,ciencias,computacionales,2,2,1.0
suburbano,ya,está,2,2,1.0
ya,ni,modo,2,4,0.5
dijo,a,los,2,3,0.6666666666666666
$,pero,es,2,35,0.05714285714285714
a,esa,hora,2,3,0.6666666666666666
creo,que,siii,2,82,0.024390243902439025
lo,mismo,y,2,6,0.3333333333333333
$,solo,que,2,20,0.1
pero,vamos,a,2,2,1.0
solo,que,no,2,10,0.2
que,lo,que,2,10,0.2
me,ha,pasado,2,2,1.0
tipo,de,cosas,2,2,1.0
ese,tipo,de,2,2,1.0
que,sea,pero,2,8,0.25
$,yooo,igual,2,2,1.0
yooo,igual,",",2,2,1.0
$,bueno,en,2,13,0.15384615384615385
yo,creo,se,2,26,0.07692307692307693
desde,la,primaria,2,3,0.6666666666666666
que,desde,la,2,3,0.6666666666666666
",",me,acuerdo,2,13,0.15384615384615385
valee,",",gracias,2,2,1.0
creo,que,sii,2,82,0.024390243902439025
$,en,serioo,2,32,0.0625
en,serioo,?,2,2,1.0
creo,que,lo,2,82,0.024390243902439025
",",en,tu,2,5,0.4
gaby,",",si,2,13,0.15384615384615385
que,si,se,2,42,0.047619047619047616
en,linea,&,2,2,1.0
vdd,?,&,2,2,1.0
muy,ricos,&,2,2,1.0
",",si,los,2,17,0.11764705882352941
por,si,acaso,2,8,0.25
fue,lo,que,2,2,1.0
voy,a,hacer,2,25,0.08
$,gracias,&,2,13,0.15384615384615385
gabygod,",",ya,2,17,0.11764705882352941
si,me,gustan,2,32,0.0625
",",ya,lo,2,25,0.08
jajaj,",",no,2,5,0.4
a,que,hora,2,5,0.4
es,verdad,&,2,2,1.0
$,ahh,vale,2,16,0.125
a,la,suerte,2,42,0.047619047619047616
una,que,otra,2,5,0.4
",",al,final,2,5,0.4
<,this,message,2,2,1.0
this,message,was,2,3,0.6666666666666666
message,was,edited,2,2,1.0
was,edited,>,2,2,1.0
edited,>,&,2,2,1.0
lo,de,el,2,15,0.13333333333333333
entonces,creo,que,2,2,1.0
",",te,vas,2,11,0.18181818181818182
si,te,deja,2,16,0.125
que,aun,no,2,5,0.4
creo,que,aun,2,82,0.024390243902439025
$,con,un,2,3,0.6666666666666666
pero,ya,es,2,5,0.4
si,acaso,&,2,2,1.0
$,es,la,2,18,0.1111111111111111
solo,decirle,que,2,2,1.0
$,si,lo,2,53,0.03773584905660377
le,dijo,a,2,2,1.0
$,lo,que,2,18,0.1111111111111111
lo,que,dijo,2,28,0.07142857142857142
que,si,hay,2,42,0.047619047619047616
ese,día,&,2,5,0.4
lo,mejor,",",2,8,0.25
$,ya,solo,2,33,0.06060606060606061
muchas,gracias,gabygod,2,3,0.6666666666666666
siii,",",lo,2,43,0.046511627906976744
ya,está,más,2,8,0.25
se,lo,mandé,2,10,0.2
",",hay,que,2,3,0.6666666666666666
siiiii,",",me,2,6,0.3333333333333333
si,es,lo,2,19,0.10526315789473684
ya,se,lo,2,7,0.2857142857142857
$,me,dijo,2,31,0.06451612903225806
la,que,me,2,12,0.16666666666666666
$,lo,más,2,18,0.1111111111111111
$,a,las,2,32,0.0625
el,sabado,&,2,2,1.0
buena,",",creo,2,4,0.5
$,de,la,2,23,0.08695652173913043
es,que,si,2,19,0.10526315789473684
día,que,fui,2,2,1.0
serio,que,si,2,3,0.6666666666666666
$,ayyy,si,2,4,0.5
me,tendré,que,2,2,1.0
