Term1,Term2,BigramFreq,ContextFreq,BigramProb
lo,mejor,8,190,0.042105263157894736
la,última,7,325,0.021538461538461538
jajaja,&,7,12,0.5833333333333334
y,el,7,166,0.04216867469879518
$,las,7,1514,0.004623513870541612
se,si,7,143,0.04895104895104895
me,acuerdo,7,217,0.03225806451612903
me,avisas,7,217,0.03225806451612903
hoy,&,7,27,0.25925925925925924
a,hacer,7,343,0.02040816326530612
mi,papá,7,76,0.09210526315789473
que,bueno,7,578,0.012110726643598616
ya,lo,7,175,0.04
el,examen,7,252,0.027777777777777776
serio,?,7,15,0.4666666666666667
me,lo,7,217,0.03225806451612903
te,gustan,7,129,0.05426356589147287
la,tarde,7,325,0.021538461538461538
$,mi,7,1514,0.004623513870541612
a,ti,7,343,0.02040816326530612
mejor,&,7,34,0.20588235294117646
me,voy,7,217,0.03225806451612903
semana,&,7,18,0.3888888888888889
pero,si,7,140,0.05
mañana,&,7,32,0.21875
ya,se,7,175,0.04
de,los,7,348,0.020114942528735632
",",a,7,515,0.013592233009708738
$,ojala,7,1514,0.004623513870541612
$,como,7,1514,0.004623513870541612
tarde,&,7,12,0.5833333333333334
tal,vez,7,17,0.4117647058823529
bueno,&,7,49,0.14285714285714285
por,eso,7,80,0.0875
si,ya,7,279,0.025089605734767026
a,lo,6,343,0.01749271137026239
hace,que,6,15,0.4
muy,buena,6,56,0.10714285714285714
ver,que,6,36,0.16666666666666666
$,eso,6,1514,0.003963011889035667
",",aun,6,515,0.011650485436893204
nada,&,6,19,0.3157894736842105
lo,mismo,6,190,0.031578947368421054
como,que,6,54,0.1111111111111111
que,está,6,578,0.010380622837370242
siiiii,",",6,14,0.42857142857142855
que,en,6,578,0.010380622837370242
a,estar,6,343,0.01749271137026239
",",la,6,515,0.011650485436893204
ir,a,6,20,0.3
al,menos,6,51,0.11764705882352941
de,verdad,6,348,0.017241379310344827
clase,&,6,15,0.4
pero,creo,6,140,0.04285714285714286
$,está,6,1514,0.003963011889035667
mis,amigos,6,20,0.3
$,le,6,1514,0.003963011889035667
te,gusta,6,129,0.046511627906976744
día,&,6,26,0.23076923076923078
te,vas,6,129,0.046511627906976744
la,.,6,325,0.018461538461538463
",",y,6,515,0.011650485436893204
verdad,?,6,21,0.2857142857142857
me,hace,6,217,0.027649769585253458
antes,&,6,17,0.35294117647058826
todo,el,6,22,0.2727272727272727
yo,solo,6,99,0.06060606060606061
a,tener,6,343,0.01749271137026239
ya,es,6,175,0.03428571428571429
yo,si,6,99,0.06060606060606061
van,a,6,8,0.75
un,poco,6,68,0.08823529411764706
$,hoy,6,1514,0.003963011889035667
$,pues,6,1514,0.003963011889035667
de,tu,6,348,0.017241379310344827
hola,gabygod,6,15,0.4
de,un,6,348,0.017241379310344827
",",bueno,6,515,0.011650485436893204
pero,la,6,140,0.04285714285714286
es,de,6,163,0.03680981595092025
$,nooo,6,1514,0.003963011889035667
$,yp,6,1514,0.003963011889035667
",",ahora,6,515,0.011650485436893204
me,quede,5,217,0.02304147465437788
$,graciass,5,1514,0.0033025099075297227
que,solo,5,578,0.00865051903114187
ese,día,5,29,0.1724137931034483
yo,me,5,99,0.050505050505050504
tampoco,",",5,17,0.29411764705882354
no,es,5,328,0.01524390243902439
hoy,no,5,27,0.18518518518518517
igual,&,5,68,0.07352941176470588
un,rato,5,68,0.07352941176470588
fue,la,5,24,0.20833333333333334
de,las,5,348,0.014367816091954023
es,cierto,5,163,0.03067484662576687
este,semestre,5,20,0.25
los,demás,5,86,0.05813953488372093
los,que,5,86,0.05813953488372093
jajja,&,5,15,0.3333333333333333
$,valee,5,1514,0.0033025099075297227
una,que,5,55,0.09090909090909091
acuerdo,que,5,7,0.7142857142857143
",",al,5,515,0.009708737864077669
que,de,5,578,0.00865051903114187
que,aun,5,578,0.00865051903114187
de,repente,5,348,0.014367816091954023
de,ir,5,348,0.014367816091954023
un,buen,5,68,0.07352941176470588
",",en,5,515,0.009708737864077669
todo,&,5,22,0.22727272727272727
ya,solo,5,175,0.02857142857142857
",",el,5,515,0.009708737864077669
$,hasta,5,1514,0.0033025099075297227
pero,es,5,140,0.03571428571428571
a,el,5,343,0.014577259475218658
",",que,5,515,0.009708737864077669
jajaj,",",5,26,0.19230769230769232
",",cuando,5,515,0.009708737864077669
siiiiii,",",5,8,0.625
la,prepa,5,325,0.015384615384615385
$,jajaja,5,1514,0.0033025099075297227
aun,no,5,24,0.20833333333333334
en,mi,5,196,0.025510204081632654
a,que,5,343,0.014577259475218658
en,las,5,196,0.025510204081632654
$,gabygod,5,1514,0.0033025099075297227
a,poner,5,343,0.014577259475218658
de,hecho,5,348,0.014367816091954023
vale,",",5,26,0.19230769230769232
temprano,&,5,12,0.4166666666666667
la,semana,5,325,0.015384615384615385
calor,&,5,6,0.8333333333333334
en,un,5,196,0.025510204081632654
el,miércoles,5,252,0.01984126984126984
si,los,5,279,0.017921146953405017
por,donde,5,80,0.0625
ya,&,5,175,0.02857142857142857
vas,con,5,17,0.29411764705882354
igual,ya,5,68,0.07352941176470588
pero,ya,5,140,0.03571428571428571
entonces,si,5,21,0.23809523809523808
y,la,5,166,0.030120481927710843
hay,que,5,35,0.14285714285714285
las,de,5,78,0.0641025641025641
a,mis,5,343,0.014577259475218658
",",por,5,515,0.009708737864077669
$,esta,5,1514,0.0033025099075297227
$,siiiiiii,5,1514,0.0033025099075297227
así,&,5,26,0.19230769230769232
lejos,&,5,6,0.8333333333333334
y,no,5,166,0.030120481927710843
habia,visto,5,11,0.45454545454545453
para,ver,5,71,0.07042253521126761
bueno,que,5,49,0.10204081632653061
vaya,a,5,6,0.8333333333333334
última,clase,5,8,0.625
es,mas,5,163,0.03067484662576687
tiempo,&,5,13,0.38461538461538464
esque,ya,5,30,0.16666666666666666
que,era,5,578,0.00865051903114187
te,aviso,5,129,0.03875968992248062
en,su,5,196,0.025510204081632654
la,otra,5,325,0.015384615384615385
que,igual,5,578,0.00865051903114187
buena,&,4,15,0.26666666666666666
porque,en,4,61,0.06557377049180328
como,el,4,54,0.07407407407407407
gustan,&,4,11,0.36363636363636365
a,ser,4,343,0.011661807580174927
crees,que,4,4,1.0
