Term1,Term2,BigramFreq,ContextFreq,BigramProb
rzagalf,&,2,2,1.0
$,rzagalf,2,416,0.004807692307692308
$,jsjsjsjs,2,416,0.004807692307692308
la,teoría,2,29,0.06896551724137931
gracias,&,2,21,0.09523809523809523
$,asi,2,416,0.004807692307692308
a,los,2,47,0.0425531914893617
tengo,la,2,4,0.5
josué,&,2,3,0.6666666666666666
a,la,2,47,0.0425531914893617
pero,en,2,13,0.15384615384615385
no,pero,2,56,0.03571428571428571
a,su,2,47,0.0425531914893617
$,oigan,2,416,0.004807692307692308
oigan,&,2,2,1.0
xdxd,&,2,2,1.0
$,como,2,416,0.004807692307692308
en,un,2,17,0.11764705882352941
me,olvidó,2,24,0.08333333333333333
x2,&,2,4,0.5
$,confirmo,2,416,0.004807692307692308
coooof,*,2,2,1.0
puede,&,2,3,0.6666666666666666
:,&,2,11,0.18181818181818182
una,&,2,11,0.18181818181818182
x2,gabygod,2,4,0.5
voy,a,2,2,1.0
$,esque,2,416,0.004807692307692308
$,?,2,416,0.004807692307692308
😭,😭,2,3,0.6666666666666666
vamos,a,2,4,0.5
a,qué,2,47,0.0425531914893617
",",solo,2,64,0.03125
no,lo,2,56,0.03571428571428571
wey,?,2,6,0.3333333333333333
de,octubre,2,54,0.037037037037037035
neta,si,2,3,0.6666666666666666
$,neta,2,416,0.004807692307692308
a,mimir,2,47,0.0425531914893617
nos,saques,2,20,0.1
nada,xd,2,9,0.2222222222222222
a,nlp,2,47,0.0425531914893617
se,esta,2,28,0.07142857142857142
este,es,2,12,0.16666666666666666
protocolo,?,2,12,0.16666666666666666
xdxdxd,&,2,2,1.0
modelo,",",2,4,0.5
un,mensaje,2,15,0.13333333333333333
nlp,?,2,7,0.2857142857142857
si,trabajamos,2,22,0.09090909090909091
esponjosito,?,2,8,0.25
el,tt,2,47,0.0425531914893617
$,vamos,2,416,0.004807692307692308
entonces,",",2,5,0.4
$,oh,2,416,0.004807692307692308
te,preocupes,2,16,0.125
que,me,2,61,0.03278688524590164
