Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
jajaja,es,que,3,3,1.0
con,confianza,&,3,4,0.75
$,gerrygod,&,3,23,0.13043478260869565
eso,estamos,",",3,6,0.5
$,jajaja,si,3,53,0.05660377358490566
en,la,mañana,3,24,0.125
que,es,la,3,17,0.17647058823529413
para,que,lo,3,9,0.3333333333333333
$,#,#,3,3,1.0
de,nada,",",3,7,0.42857142857142855
para,el,examen,3,7,0.42857142857142855
no,jajaja,&,3,4,0.75
pero,no,sé,3,8,0.375
todo,cool,&,3,4,0.75
$,jaja,ntp,3,8,0.375
$,jajaja,vava,3,53,0.05660377358490566
dicen,que,es,3,5,0.6
$,esperemos,que,3,3,1.0
$,si,te,3,38,0.07894736842105263
$,oye,gerry,3,9,0.3333333333333333
$,y,no,3,44,0.06818181818181818
que,creo,que,3,3,1.0
¿,sabes,si,3,3,1.0
$,hola,",",3,8,0.375
va,a,venir,3,25,0.12
se,logró,&,3,3,1.0
me,reí,fuerte,3,3,1.0
a,ir,a,3,5,0.6
info,gerrygod,&,3,4,0.75
$,vale,",",3,5,0.6
$,oye,gerrygod,3,9,0.3333333333333333
$,jajajaja,ntp,3,39,0.07692307692307693
ir,a,la,3,8,0.375
ya,andas,en,3,3,1.0
hay,clase,con,3,8,0.375
andas,en,escom,3,4,0.75
en,escom,¿,3,5,0.6
clase,del,cubano,3,3,1.0
$,pero,igual,3,31,0.0967741935483871
escom,¿,?,3,3,1.0
cubano,¿,?,3,3,1.0
$,se,me,3,15,0.2
de,nada,&,3,7,0.42857142857142855
$,ah,vavava,3,20,0.15
a,ver,qué,3,14,0.21428571428571427
?,xddd,&,3,3,1.0
$,nos,vemos,3,4,0.75
$,vavava,bonita,3,49,0.061224489795918366
$,f,&,3,7,0.42857142857142855
$,vava,muchas,3,27,0.1111111111111111
¿,verdad,?,3,3,1.0
",",creo,que,3,3,1.0
en,la,introducción,3,24,0.125
si,jajaja,&,3,5,0.6
verdad,?,&,3,3,1.0
y,ya,&,3,15,0.2
va,a,dar,3,25,0.12
$,no,lo,3,40,0.075
los,veo,&,2,2,1.0
$,ojalá,&,2,10,0.2
$,xddd,&,2,5,0.4
$,ah,si,2,20,0.1
